County, Sex, Xiang, Q005, Q006, Q031, Q089, Q090, Q091, Q092, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q149, Q150, Q151, Q152, Q153, Q154, Q155, Q156, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q185, Q188, Q189, Q190, Q191, Q192, 
VA,M,2, 24.0 ,  0.0 ,.     ,45.8  ,166   ,58.2  ,21.1  , 92.0 , 92.0 , 92.0 ,.     ,22.0  ,.     , 68.0 ,.     , 28.0 , 2.7  , 2.7  ,.     , 8.95 ,12.02 , 8.95 ,.     , 12.0 , 68.0 ,  0.0 ,  4.0 ,  0.0 ,  8.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  8.0 ,  6.0 ,  3.0 ,  3.5 ,563.3 ,  0.0 ,  0.0 ,  0.2 ,  0.0 ,  0.0 , 12.4 ,140   , 47   ,  3.5 ,  0.0 , 42.2 , 94.1 , 19.2 ,.     ,.     ,.     ,.     ,.     ,.     ,
VA,M,3, 16.6 ,  2.3 ,.     ,45.0  ,168   ,59.5  ,21.3  , 84.7 , 82.4 , 82.4 ,.     ,23.9  ,.     , 49.9 ,.     , 48.1 , 4.5  , 4.5  ,.     , 5.41 ,10.57 , 5.41 ,.     , 12.8 , 34.0 ,  0.0 ,  4.3 ,  0.0 , 10.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 10.8 , 15.5 ,  7.8 ,  4.8 ,528.2 ,  0.0 ,  0.0 ,  1.4 ,  0.3 ,  0.0 , 12.1 ,135   , 83   , 10.8 ,  0.3 , 43.8 , 68.0 , 13.7 ,.     ,.     ,.     ,.     ,.     ,.     ,
VA,F,1, 31.6 ,  0.0 ,.     ,42.7  ,156   ,57.3  ,23.6  , 10.5 ,  5.3 ,.     ,  5.3 ,.     ,46.5  ,.     ,  0.0 , 10.5 , 0.7  ,.     , 0.7  , 0.00 , 0.80 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  4.5 ,440.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 10.2 ,186   , 97   , 20.1 ,  1.3 , 32.8 , 35.4 ,  0.0 ,16.5  ,50.0  ,21.4  ,5.0   ,1.1   ,3.9   ,
VA,F,2,  3.3 ,  0.0 ,.     ,42.8  ,156   ,52.5  ,21.7  , 10.0 , 10.0 ,.     , 10.0 ,.     ,18.0  ,.     , 10.0 , 10.0 , 0.7  ,.     , 0.7  , 0.27 , 1.08 ,.     , 0.27 ,  0.0 ,  3.3 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,463.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 13.7 ,205   , 27   ,  3.8 ,  0.0 , 22.4 , 19.6 , 30.8 ,17.5  ,51.0  ,22.6  ,5.3   ,1.4   ,3.8   ,
VA,F,3, 17.4 ,  0.0 ,.     ,42.8  ,156   ,54.9  ,22.7  , 10.3 ,  7.7 ,.     ,  7.7 ,.     ,32.3  ,.     ,  5.0 , 10.3 , 0.7  ,.     , 0.7  , 0.14 , 0.94 ,.     , 0.14 ,  0.0 ,  1.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  2.3 ,452.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 11.9 ,196   , 62   , 12.0 ,  0.7 , 27.6 , 27.5 , 15.4 ,17.0  ,50.5  ,22.0  ,5.2   ,1.3   ,3.9   ,
VA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
VA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
VA,T,3, 17.0 ,  1.1 , 305.3,43.9  ,162   ,57.2  ,22.0  , 47.5 , 45.0 ,.     ,.     ,.     ,.     ,.     ,.     , 29.2 , 2.6  ,.     ,.     , 2.77 , 5.75 ,.     ,.     ,  6.4 , 17.8 ,  0.0 ,  2.1 ,  0.0 ,  5.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  5.4 ,  7.8 ,  3.9 ,  3.5 ,490.2 ,  0.0 ,  0.0 ,  0.7 ,  0.1 ,  0.0 , 12.0 ,165   , 73   , 11.4 ,  0.5 , 35.7 , 47.8 , 14.6 ,.     ,.     ,.     ,.     ,.     ,.     ,
VB,M,1,  4.0 ,  0.0 ,.     ,47.7  ,169   ,62.6  ,22.1  , 84.0 , 84.0 , 84.0 ,.     ,26.8  ,.     , 36.0 ,.     , 80.0 , 5.2  , 5.2  ,.     , 1.64 , 7.60 , 1.64 ,.     , 16.0 , 20.0 ,  0.0 ,  0.0 ,  0.0 , 12.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.0 ,  6.0 ,  3.0 ,  1.6 ,543.5 , 11.2 ,  0.0 ,  1.9 ,  0.0 ,  0.0 , 13.5 ,133   ,152   ,123.9 ,  0.0 , 54.2 ,103.7 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
VB,M,2,  4.3 ,  0.0 ,.     ,47.8  ,164   ,59.5  ,22.1  , 95.7 , 82.6 , 82.6 ,.     ,26.0  ,.     , 30.4 ,.     , 78.3 , 6.7  , 6.7  ,.     , 3.50 ,11.23 , 3.50 ,.     ,  8.7 ,  8.7 ,  0.0 ,  0.0 ,  0.0 , 21.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 21.7 ,  9.3 ,  4.7 ,  2.7 ,465.5 , 76.1 ,  0.0 ,  0.1 ,  0.0 ,  0.0 , 12.3 ,119   ,118   , 94.7 ,  0.0 , 65.7 , 66.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
VB,M,3,  4.2 ,  0.0 ,.     ,47.8  ,167   ,61.1  ,22.1  , 89.9 , 83.3 , 83.3 ,.     ,26.4  ,.     , 33.2 ,.     , 79.2 , 6.0  , 6.0  ,.     , 2.57 , 9.42 , 2.57 ,.     , 12.3 , 14.3 ,  0.0 ,  0.0 ,  0.0 , 16.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 16.9 ,  7.7 ,  3.9 ,  2.2 ,504.5 , 43.6 ,  0.0 ,  1.0 ,  0.0 ,  0.0 , 12.9 ,126   ,135   ,109.3 ,  0.0 , 60.0 , 85.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
