County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, P011, P012, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, P031, P032, P034, P036, P037, P038, P039, P040, P041, P042, P044, P045, P046, P047, P048, R002, R003, R004, R005, R006, R007, R008, R009, R010, R011, R012, R013, R014, R015, R016, R017, R018, R019, R020, R021, R022, R023, R024, R025, R026, U001, U002, U003, U004, U005, U006, U007, U008, U009, U010, U011, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, U025, U026, U027, U028, U029, U030, 
ZM,F,3,166   ,48.2  ,117.4 ,132.8 ,68.8  ,4.5   ,7.97  , 4.03 , 27.9 ,10.90 , 6.20 ,51.7  ,4.73  , 658  ,209   , 4.75 , 65.5 , 5.95 , 4.55 ,19.45 , 4.40 , 2.00 , 5.50 ,10.8  ,1.14  ,31.90 ,0.117 ,15.4  ,3.90  ,13.3  ,0.104 ,0.253 ,451   , 96.5 ,17.4  ,3.4   , 6.0  ,1.47  ,.     , 17   , 81.0 ,.     , 14   ,.     ,  7.1 ,1.06  ,48.4  , 16.7 ,29.6  , 5.44 ,35.0  , 0.72 ,0.20  ,17.7  ,17.1  ,0.36  ,1.20  ,11.71 ,0.20  ,11.8  ,0.39  , 0.64 , 3.68 ,0.74  ,0.88  , 3.81 ,11.28 ,0.50  ,1.81  ,16.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZM,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZM,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZM,T,3,166   ,48.7  ,117.6 ,129.8 ,71.2  ,4.5   ,8.07  , 3.84 , 21.8 , 7.80 , 5.33 ,57.0  ,5.09  , 648  ,189   , 4.28 , 51.7 , 5.18 , 3.85 ,13.20 , 3.27 , 2.30 , 4.67 ,10.1  ,0.99  ,32.12 ,0.114 ,17.0  ,3.86  ,13.3  ,0.104 ,0.271 ,471   , 90.6 ,16.9  ,3.7   , 6.1  ,1.73  ,.     , 15   , 82.3 ,.     ,.     ,.     ,.     ,1.10  ,48.1  , 17.0 ,29.1  , 5.75 ,34.8  , 0.72 ,0.21  ,18.2  ,17.3  ,0.39  ,1.32  ,10.80 ,0.23  ,12.0  ,0.38  , 0.32 , 4.06 ,0.82  ,0.84  , 4.09 ,11.25 ,0.51  ,1.80  ,15.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,M,1,175   ,44.8  ,130.2 ,117.0 ,75.6  ,4.5   ,8.17  , 3.79 , 16.4 , 5.20 , 6.50 ,63.9  ,4.66  , 704  ,339   , 3.00 , 31.8 , 4.10 , 3.60 ,11.70 , 2.00 , 6.10 , 4.40 ,  .   ,0.87  ,29.97 ,0.122 ,14.6  ,3.63  ,13.3  ,0.122 ,0.275 ,453   , 95.7 ,17.3  ,3.6   , 6.1  ,1.56  , 6.60 , 27   , 83.3 , 98   ,.     , 46.4 ,.     ,1.05  ,50.0  , 18.1 ,23.3  , 8.61 ,31.9  , 0.64 ,0.43  ,19.6  ,17.6  ,1.44  ,1.57  , 9.35 ,0.24  ,12.1  ,0.33  , 0.00 , 5.44 ,2.77  ,0.91  , 4.92 ,10.17 ,0.43  ,1.34  ,11.4  , 2.8  ,0.73  , 2.1  ,0.11  ,0.42  , 7.0  ,0.13  ,737   ,0.19  , 6.14 ,1.20  , 538  , 574  , 0.05 , 0.03 , 3.35 , 1.64 , 1.16 , 0.56 ,  9.40,  4.66,0.07  , 1.71 , 13.97,  6.90, 0.04 , 2.50 , 0.86 ,  7.03,
ZN,M,2,174   ,45.9  ,128.1 ,137.5 ,77.0  ,4.3   ,8.17  , 2.09 , 12.9 , 3.60 , 4.40 ,37.7  ,5.19  , 395  ,106   , 0.00 , 21.1 , 2.60 , 2.80 , 1.60 , 1.80 , 2.30 , 3.30 , 8.3  ,0.34  ,29.25 ,0.104 ,16.2  ,4.77  ,13.8  ,0.116 ,0.284 ,492   , 69.7 ,18.3  ,3.7   , 5.8  ,1.95  , 6.10 , 27   , 90.0 ,147   ,.     , 60.7 ,.     ,1.25  ,48.8  , 16.3 ,29.1  , 5.47 ,34.6  , 0.71 ,0.34  ,19.6  ,17.5  ,0.39  ,0.27  ,10.68 ,0.35  ,11.8  ,0.41  , 0.00 , 3.75 ,0.73  ,1.00  , 3.74 ,11.40 ,0.54  ,1.56  ,15.6  , 3.1  ,1.05  , 2.9  ,0.08  ,0.53  , 5.6  ,0.27  ,533   ,0.10  , 0.00 ,0.72  , 384  , 435  , 0.23 , 0.03 , 3.10 , 1.09 ,17.29 ,17.91 , 22.64,  6.04,0.11  , 2.01 , 43.26, 25.07, 0.13 , 2.10 ,17.60 , 14.34,
ZN,M,3,175   ,45.4  ,129.2 ,127.3 ,76.3  ,4.4   ,8.17  , 2.94 , 14.7 , 4.40 , 5.45 ,50.8  ,4.93  , 550  ,223   , 1.50 , 26.5 , 3.35 , 3.20 , 6.65 , 1.90 , 4.20 , 3.85 , 8.3  ,0.60  ,29.61 ,0.113 ,15.4  ,4.20  ,13.6  ,0.119 ,0.280 ,473   , 82.7 ,17.8  ,3.7   , 6.0  ,1.76  , 6.35 , 27   , 86.7 ,123   ,.     , 53.6 ,.     ,1.15  ,49.4  , 17.2 ,26.2  , 7.04 ,33.3  , 0.68 ,0.39  ,19.6  ,17.6  ,0.92  ,0.92  ,10.02 ,0.29  ,12.0  ,0.37  , 0.00 , 4.60 ,1.75  ,0.96  , 4.33 ,10.79 ,0.49  ,1.45  ,13.5  , 3.0  ,0.89  , 2.5  ,0.10  ,0.48  , 6.3  ,0.20  ,635   ,0.15  , 3.07 ,0.96  , 461  , 505  , 0.14 , 0.03 , 3.23 , 1.36 , 9.22 , 9.23 , 16.02,  5.35,0.09  , 1.86 , 28.61, 15.99, 0.09 , 2.30 , 9.23 , 10.69,
ZN,F,1,188   ,45.5  ,142.5 ,128.6 ,80.4  ,4.5   ,8.53  , 3.03 , 24.7 , 5.70 , 5.30 ,41.7  ,4.24  , 485  ,167   , 2.90 , 29.6 , 3.90 , 3.20 ,10.90 , 2.60 , 3.30 , 4.20 ,  .   ,0.58  ,31.86 ,0.107 ,15.0  ,3.87  ,12.6  ,0.101 ,0.253 ,479   ,105.7 ,16.0  ,3.4   , 7.3  ,1.68  ,.     , 21   , 83.3 ,.     ,  5   ,.     ,  6.7 ,1.10  ,51.8  , 16.6 ,24.1  , 7.46 ,31.6  , 0.61 ,0.24  ,21.0  ,18.5  ,0.42  ,1.53  ,10.12 ,0.20  ,12.2  ,0.23  , 0.00 , 3.93 ,2.29  ,0.81  , 4.37 ,10.10 ,0.37  ,1.37  ,12.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,F,2,194   ,40.9  ,153.1 ,138.6 ,76.7  ,4.4   ,8.37  , 3.31 , 29.4 , 5.40 , 5.10 ,37.1  ,4.45  , 385  ,129   , 3.90 , 30.3 , 3.20 , 3.10 , 1.80 , 2.40 , 3.40 , 3.60 ,16.4  ,0.71  ,33.56 ,0.114 ,14.2  ,4.40  ,12.7  ,0.121 ,0.269 ,512   , 65.3 ,16.0  ,2.9   , 6.9  ,1.63  ,.     , 23   , 90.0 ,.     , 27   ,.     , 10.3 ,1.21  ,51.2  , 19.4 ,24.3  , 5.14 ,29.4  , 0.57 ,0.30  ,20.9  ,19.2  ,0.35  ,1.96  , 8.50 ,0.17  , 9.2  ,0.36  , 4.96 , 4.69 ,0.32  ,0.90  , 3.91 , 8.29 ,0.67  ,1.44  ,13.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,F,3,191   ,43.2  ,147.8 ,133.6 ,78.6  ,4.5   ,8.45  , 3.17 , 27.1 , 5.55 , 5.20 ,39.4  ,4.35  , 435  ,148   , 3.40 , 30.0 , 3.55 , 3.15 , 6.35 , 2.50 , 3.35 , 3.90 ,16.4  ,0.65  ,32.71 ,0.111 ,14.6  ,4.14  ,12.7  ,0.111 ,0.261 ,496   , 85.5 ,16.0  ,3.1   , 7.1  ,1.66  ,.     , 22   , 86.7 ,.     , 16   ,.     ,  8.5 ,1.16  ,51.5  , 18.0 ,24.2  , 6.30 ,30.5  , 0.59 ,0.27  ,20.9  ,18.9  ,0.39  ,1.75  , 9.31 ,0.19  ,10.7  ,0.29  , 2.48 , 4.31 ,1.30  ,0.86  , 4.14 , 9.20 ,0.52  ,1.41  ,13.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZN,T,3,183   ,44.3  ,138.5 ,130.4 ,77.4  ,4.4   ,8.31  , 3.06 , 20.9 , 4.98 , 5.33 ,45.1  ,4.64  , 492  ,185   , 2.45 , 28.2 , 3.45 , 3.18 , 6.50 , 2.20 , 3.78 , 3.88 ,12.3  ,0.63  ,31.16 ,0.112 ,15.0  ,4.17  ,13.1  ,0.115 ,0.270 ,484   , 84.1 ,16.9  ,3.4   , 6.5  ,1.71  ,.     , 25   , 86.7 ,.     ,.     ,.     ,.     ,1.15  ,50.5  , 17.6 ,25.2  , 6.67 ,31.9  , 0.63 ,0.33  ,20.3  ,18.2  ,0.65  ,1.33  , 9.66 ,0.24  ,11.3  ,0.33  , 1.24 , 4.45 ,1.53  ,0.91  , 4.24 , 9.99 ,0.50  ,1.43  ,13.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,M,1,196   ,49.4  ,146.6 ,125.8 ,76.2  ,4.4   ,8.17  , 3.55 , 21.4 , 4.80 , 6.00 ,48.4  ,4.86  , 591  ,141   , 3.10 , 28.0 , 3.40 , 2.60 ,10.30 , 2.80 , 4.00 , 3.70 ,10.5  ,1.50  ,27.12 ,0.110 ,14.6  ,3.57  ,13.0  ,0.104 ,0.282 ,463   , 92.0 ,18.0  ,4.3   , 7.1  ,1.65  , 6.80 , 20   , 73.3 ,152   ,.     , 52.0 ,.     ,1.07  ,46.6  , 18.6 ,25.6  , 9.22 ,34.9  , 0.75 ,0.27  ,19.8  ,16.4  ,0.38  ,2.15  , 7.66 ,0.18  ,11.7  ,0.26  , 0.00 , 6.45 ,1.41  ,0.60  , 7.21 ,11.27 ,0.38  ,1.48  ,12.5  , 3.5  ,0.92  , 2.8  ,0.07  ,0.44  , 7.2  ,0.45  ,452   ,0.11  , 4.58 ,2.25  , 627  , 583  , 1.35 , 0.04 , 3.74 , 1.49 , 4.71 , 0.29 , 16.83,  4.75,0.09  , 2.25 , 26.62,  6.56, 0.69 , 2.61 , 2.50 , 10.79,
ZO,M,2,154   ,50.8  ,103.2 ,119.6 ,65.8  ,4.2   ,8.07  , 1.80 , 10.9 , 4.40 , 3.70 ,36.7  ,4.28  , 280  ,232   , 1.30 , 26.1 , 4.40 , 2.50 , 4.80 , 2.10 , 1.30 , 4.00 , 9.8  ,0.87  ,26.43 ,0.107 ,17.1  ,3.33  ,15.1  ,0.116 ,0.297 ,488   , 71.3 ,17.7  ,4.0   , 6.8  ,1.80  , 7.76 , 10   , 60.0 ,158   ,.     , 64.0 ,.     ,1.24  ,47.9  , 16.9 ,27.7  , 7.48 ,35.2  , 0.73 ,0.12  ,18.7  ,17.3  ,0.46  ,2.21  , 9.19 ,0.13  ,11.2  ,0.27  , 0.00 , 5.23 ,0.73  ,1.21  , 5.54 ,11.01 ,0.51  ,2.48  ,13.7  , 3.9  ,0.78  , 3.1  ,0.14  ,0.41  , 6.1  ,0.32  ,459   ,0.12  , 1.13 ,2.14  , 518  , 503  , 0.05 , 0.03 , 3.17 , 0.53 , 0.53 , 0.13 ,  8.34,  2.83,0.08  , 2.64 , 12.09,  3.52, 0.04 , 1.85 , 0.33 ,  5.59,
ZO,M,3,175   ,50.1  ,124.9 ,122.7 ,71.0  ,4.3   ,8.12  , 2.67 , 16.1 , 4.60 , 4.85 ,42.6  ,4.57  , 436  ,187   , 2.20 , 27.1 , 3.90 , 2.55 , 7.55 , 2.45 , 2.65 , 3.85 ,10.2  ,1.19  ,26.78 ,0.108 ,15.9  ,3.45  ,14.1  ,0.110 ,0.289 ,476   , 81.7 ,17.9  ,4.2   , 7.0  ,1.73  , 7.28 , 15   , 66.7 ,155   ,.     , 58.0 ,.     ,1.16  ,47.3  , 17.8 ,26.7  , 8.35 ,35.1  , 0.74 ,0.20  ,19.3  ,16.9  ,0.42  ,2.18  , 8.43 ,0.15  ,11.4  ,0.27  , 0.00 , 5.84 ,1.07  ,0.91  , 6.38 ,11.14 ,0.45  ,1.98  ,13.1  , 3.7  ,0.85  , 3.0  ,0.11  ,0.42  , 6.7  ,0.39  ,456   ,0.12  , 2.85 ,2.20  , 573  , 543  , 0.70 , 0.04 , 3.46 , 1.01 , 2.62 , 0.21 , 12.58,  3.79,0.09  , 2.45 , 19.36,  5.04, 0.36 , 2.23 , 1.42 ,  8.19,
ZO,F,1,182   ,51.1  ,130.9 ,124.7 ,72.8  ,4.4   ,7.97  , 3.01 , 23.2 , 5.00 , 5.10 ,31.6  ,3.62  , 379  ,127   , 1.70 , 21.7 , 3.50 , 2.60 ,10.10 , 3.10 , 2.60 , 3.30 ,12.8  ,1.12  ,29.90 ,0.110 ,13.9  ,3.60  ,13.6  ,0.107 ,0.232 ,413   , 84.0 ,15.3  ,4.4   , 6.7  ,2.11  ,.     , 17   , 76.7 ,.     ,  5   ,.     ,  3.6 ,1.16  ,47.6  , 17.5 ,28.8  , 6.06 ,34.9  , 0.73 ,0.19  ,17.5  ,17.8  ,0.40  ,1.27  ,10.38 ,0.15  ,11.5  ,0.39  , 1.52 , 3.96 ,1.60  ,0.83  , 3.63 ,10.71 ,0.44  ,1.57  ,16.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,F,2,171   ,46.5  ,124.5 ,123.5 ,73.9  ,4.3   ,7.93  , 4.75 , 19.6 , 5.70 , 7.00 ,67.5  ,3.47  , 713  ,301   , 3.80 , 32.4 , 4.50 , 3.20 ,11.20 , 2.90 , 2.80 , 4.10 ,22.9  ,1.00  ,28.38 ,0.108 ,13.2  ,3.27  ,13.6  ,0.117 ,0.245 ,425   , 72.0 ,16.7  ,3.7   , 6.0  ,1.66  ,.     ,  7   , 55.2 ,.     ,  3   ,.     ,  0.0 ,1.26  ,45.4  , 17.0 ,27.6  ,10.03 ,37.6  , 0.83 ,0.18  ,16.7  ,15.5  ,0.46  ,1.94  ,10.59 ,0.15  , 9.9  ,0.29  , 0.00 , 6.62 ,2.11  ,0.68  , 7.24 ,10.60 ,0.44  ,1.52  ,15.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,F,3,177   ,48.8  ,127.7 ,124.1 ,73.4  ,4.4   ,7.95  , 3.88 , 21.4 , 5.35 , 6.05 ,49.6  ,3.55  , 546  ,214   , 2.75 , 27.1 , 4.00 , 2.90 ,10.65 , 3.00 , 2.70 , 3.70 ,17.9  ,1.06  ,29.14 ,0.109 ,13.6  ,3.44  ,13.6  ,0.112 ,0.239 ,419   , 78.0 ,16.0  ,4.1   , 6.4  ,1.89  ,.     , 12   , 66.0 ,.     ,  4   ,.     ,  1.8 ,1.21  ,46.5  , 17.3 ,28.2  , 8.04 ,36.3  , 0.78 ,0.18  ,17.1  ,16.7  ,0.43  ,1.60  ,10.49 ,0.15  ,10.7  ,0.34  , 0.76 , 5.29 ,1.85  ,0.76  , 5.44 ,10.66 ,0.44  ,1.55  ,15.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZO,T,3,176   ,49.5  ,126.3 ,123.4 ,72.2  ,4.3   ,8.04  , 3.28 , 18.8 , 4.98 , 5.45 ,46.1  ,4.06  , 491  ,200   , 2.48 , 27.1 , 3.95 , 2.73 , 9.10 , 2.73 , 2.68 , 3.77 ,14.0  ,1.12  ,27.96 ,0.109 ,14.7  ,3.44  ,13.8  ,0.111 ,0.264 ,447   , 79.8 ,16.9  ,4.1   , 6.7  ,1.81  ,.     , 14   , 66.3 ,.     ,.     ,.     ,.     ,1.18  ,46.9  , 17.5 ,27.4  , 8.20 ,35.7  , 0.76 ,0.19  ,18.2  ,16.8  ,0.43  ,1.89  , 9.46 ,0.15  ,11.1  ,0.30  , 0.38 , 5.57 ,1.46  ,0.83  , 5.91 ,10.90 ,0.44  ,1.76  ,14.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZP,M,1,181   ,48.5  ,132.5 ,126.2 ,72.1  ,4.6   ,8.63  , 4.26 , 22.3 , 5.60 , 6.50 ,64.2  ,5.57  , 526  ,163   , 6.60 , 31.1 , 5.00 , 3.30 , 9.70 , 2.50 , 0.70 , 4.60 ,11.4  ,0.82  ,32.71 ,0.113 ,15.5  ,3.63  ,14.0  ,0.131 ,0.318 ,503   , 98.0 ,18.0  ,4.0   , 8.5  ,1.63  , 7.43 , 20   , 80.0 ,173   ,.     , 56.5 ,.     ,1.00  ,48.6  , 15.4 ,31.3  , 4.73 ,36.0  , 0.74 ,0.15  ,17.9  ,17.0  ,0.30  ,1.00  ,12.29 ,0.21  ,11.6  ,0.30  , 0.00 , 3.25 ,0.82  ,1.26  , 2.65 ,11.98 ,0.68  ,1.68  ,16.9  , 3.4  ,0.98  , 2.5  ,0.11  ,0.52  , 5.5  ,0.16  ,504   ,0.15  , 3.23 ,1.57  , 652  , 681  , 0.07 , 0.18 , 2.05 , 0.94 , 0.45 , 1.55 ,  4.19,  3.55,0.06  , 1.11 ,  6.75,  6.21, 0.12 , 1.49 , 1.00 ,  3.87,
ZP,M,2,184   ,49.1  ,134.9 ,127.6 ,82.4  ,4.5   ,8.17  , 4.32 , 22.1 , 5.30 , 7.00 ,58.5  ,5.06  , 654  ,233   , 4.70 , 37.0 , 4.60 , 3.30 , 9.80 , 2.40 , 4.00 , 4.20 ,15.3  ,0.37  ,31.02 ,0.104 ,13.7  ,3.37  ,14.9  ,0.104 ,0.254 ,405   , 92.0 ,17.7  ,3.5   ,10.9  ,2.19  , 7.94 , 30   , 76.7 ,177   ,.     , 59.3 ,.     ,0.98  ,49.6  , 15.7 ,30.7  , 4.02 ,34.7  , 0.70 ,0.18  ,20.0  ,17.5  ,0.26  ,0.88  ,10.82 ,0.26  ,12.3  ,0.27  , 0.24 , 2.58 ,0.34  ,1.22  , 2.46 ,12.37 ,0.40  ,1.78  ,16.2  , 4.2  ,0.91  , 2.8  ,0.11  ,0.60  , 7.5  ,0.74  , 94   ,0.15  , 0.00 ,1.39  , 506  , 543  , 0.04 , 0.03 , 1.09 , 0.14 , 4.18 , 0.14 ,  3.10,  0.15,0.03  , 0.96 ,  8.41,  0.46, 0.03 , 0.61 , 2.16 ,  1.62,
ZP,M,3,183   ,48.8  ,133.7 ,126.9 ,77.3  ,4.5   ,8.40  , 4.29 , 22.2 , 5.45 , 6.75 ,61.4  ,5.32  , 590  ,198   , 5.65 , 34.1 , 4.80 , 3.30 , 9.75 , 2.45 , 2.35 , 4.40 ,13.4  ,0.59  ,31.87 ,0.108 ,14.6  ,3.50  ,14.5  ,0.118 ,0.286 ,454   , 95.0 ,17.9  ,3.8   , 9.7  ,1.91  , 7.69 , 25   , 78.4 ,175   ,.     , 57.9 ,.     ,0.99  ,49.1  , 15.6 ,31.0  , 4.38 ,35.4  , 0.72 ,0.17  ,18.9  ,17.3  ,0.28  ,0.94  ,11.55 ,0.24  ,12.0  ,0.29  , 0.12 , 2.92 ,0.58  ,1.24  , 2.56 ,12.18 ,0.54  ,1.73  ,16.6  , 3.8  ,0.95  , 2.6  ,0.11  ,0.56  , 6.5  ,0.45  ,299   ,0.15  , 1.61 ,1.48  , 579  , 612  , 0.06 , 0.10 , 1.57 , 0.54 , 2.31 , 0.85 ,  3.65,  1.85,0.04  , 1.04 ,  7.58,  3.33, 0.07 , 1.05 , 1.58 ,  2.75,
ZP,F,1,176   ,58.8  ,117.2 ,138.6 ,73.9  ,4.4   ,8.03  , 6.52 , 52.2 , 9.30 , 7.40 ,42.6  ,3.96  , 599  ,174   , 7.80 , 43.7 , 4.20 , 3.50 ,15.80 , 4.60 , 6.30 , 4.90 ,14.7  ,0.71  ,31.53 ,0.126 ,14.7  ,3.70  ,15.1  ,0.114 ,0.240 ,432   ,102.7 ,16.3  ,4.1   , 8.1  ,1.82  ,.     ,  7   , 66.7 ,.     , 11   ,.     ,  3.4 ,1.16  ,48.2  , 14.7 ,31.8  , 5.09 ,36.9  , 0.77 ,0.28  ,17.1  ,17.1  ,0.44  ,1.05  ,12.21 ,0.22  ,11.5  ,0.34  , 0.00 , 2.60 ,1.19  ,1.26  , 2.64 ,11.78 ,0.51  ,1.75  ,17.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
