County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P012, P013, P014, P015, P025, P027, P028, P029, P030, P031, P032, P033, P034, P035, P036, P037, P041, P042, P044, P046, R001, R002, R003, R005, R006, R007, R008, R010, R011, R016, R019, R020, R021, R022, R023, R025, R026, U001, U002, U003, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, 
UB,F,2,119   ,39.8  , 79.1 , 84.0 , 54.7 , 3.7  ,8.28  , 1.16 , 7.4  ,48.9  ,2.35  , 569  , 20   ,0.58  ,0.103 ,19.4  ,2.54  , 9.6  ,0.129 ,0.088 , 23   ,457   ,271   , 71.0 ,12.0  ,.     , 11   ,.     ,  0   ,12.9  ,1.50  ,40.6  ,23.6  , 8.29 ,31.9  , 0.78 ,24.8  ,15.8  ,13.9  , 6.77 , 0.34 , 0.60 , 5.08 , 7.22 , 3.22 ,13.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,F,3,120   ,49.0  , 70.8 , 94.8 , 56.9 , 3.7  ,8.05  , 1.10 ,13.2  ,49.7  ,2.62  , 640  , 20   ,0.81  ,0.103 ,18.8  ,2.50  , 9.8  ,0.127 ,0.097 , 35   ,413   ,238   , 67.7 ,12.0  ,.     , 16   ,.     , 15   ,12.9  ,1.48  ,40.4  ,24.6  , 7.09 ,31.7  , 0.78 ,26.7  ,13.7  ,14.4  , 7.31 , 0.65 , 0.56 , 3.62 , 8.64 , 2.44 ,13.5  , 5.0  ,1.29  , 2.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,T,3,123   ,45.9  , 77.2 , 96.9 , 59.6 , 3.8  ,7.89  , 1.02 ,12.8  ,55.4  ,3.00  , 659  , 20   ,0.78  ,0.103 ,17.9  ,2.36  ,10.5  ,0.123 ,0.102 , 48   ,379   ,232   , 69.7 ,13.3  ,.     , 13   ,.     , 92   ,13.3  ,1.51  ,41.3  ,23.3  , 6.68 ,29.9  , 0.73 ,25.5  ,15.8  ,14.6  , 7.61 , 0.53 , 0.55 , 3.48 , 8.22 , 2.83 ,12.2  , 5.0  ,1.23  , 2.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UC,M,1,144   ,32.0  ,112.1 , 94.6 , 68.7 , 3.8  ,7.71  , 0.00 , 5.1  ,56.1  ,3.03  , 811  , 20   ,0.40  ,0.103 ,15.8  ,2.45  ,12.1  ,0.096 ,0.112 , 54   ,376   ,216   , 90.8 ,17.1  , 613  , 48   , 40.9 ,165   ,12.2  ,1.36  ,39.3  ,22.1  , 7.86 ,30.0  , 0.76 ,22.6  ,16.7  ,14.3  , 7.58 , 0.36 , 0.94 , 4.50 , 8.22 , 3.12 ,10.8  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
UC,M,2,128   ,40.7  , 87.5 ,104.0 , 67.4 , 4.0  , .    , 0.00 , 5.7  ,61.6  ,2.89  , 945  , 79   ,0.25  ,0.092 ,14.6  , .    ,11.9  ,0.096 ,0.101 ,   .  ,538   ,217   , 73.0 ,14.3  , 582  , 22   , 38.5 ,124   ,10.6  ,1.44  ,53.4  ,20.6  , 7.64 ,28.2  , 0.53 ,36.1  ,17.4  ,14.1  , 8.29 , 0.38 , 0.89 , 4.72 , 7.98 , 2.47 ,10.1  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
UC,M,3,136   ,36.4  , 99.8 , 99.3 , 68.1 , 3.9  ,7.71  , 0.00 , 5.4  ,58.9  ,2.96  , 878  , 50   ,0.33  ,0.098 ,15.2  ,2.45  ,12.0  ,0.096 ,0.107 , 54   ,457   ,217   , 81.9 ,15.7  , 598  , 35   , 39.7 ,145   ,11.4  ,1.40  ,46.4  ,21.4  , 7.75 ,29.1  , 0.65 ,29.4  ,17.1  ,14.2  , 7.93 , 0.37 , 0.92 , 4.61 , 8.10 , 2.80 ,10.5  , 4.3  ,1.60  , 2.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UC,F,1,123   ,51.4  , 71.2 , 94.5 , 57.8 , 3.7  ,7.95  , 1.07 ,14.8  ,39.2  ,2.35  , 615  , 20   ,0.58  ,0.108 ,15.1  ,2.66  ,11.6  ,0.081 ,0.098 , 33   ,250   ,236   , 84.1 ,14.3  ,.     , 12   ,.     , 42   ,10.6  ,1.53  ,41.1  ,23.0  , 8.25 ,31.3  , 0.76 ,24.0  ,17.1  ,14.5  , 7.22 , 0.37 , 0.69 , 5.31 , 7.74 , 2.63 ,12.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UC,F,2,146   ,46.1  , 99.9 ,107.2 , 67.8 , 4.1  ,8.13  , 0.00 , 5.7  ,31.7  ,2.62  , 763  , 20   ,0.56  ,0.097 ,14.5  ,2.79  ,12.1  ,0.102 ,0.088 , 43   ,329   ,237   , 73.7 ,12.9  ,.     ,  3   ,.     ,  6   ,  .   ,1.61  ,42.9  ,19.5  , 6.77 ,26.2  , 0.61 ,26.0  ,16.9  ,14.4  , 7.62 , 0.46 , 0.58 , 4.10 , 7.53 , 2.57 , 9.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
