County, Sex, Xiang, P004, P005, P006, P008, P009, P012, P014, P015, P016, P017, P035, P036, P037, P044, P045, P046, P047, P048, 
QC,M,3,127.5 ,53.4  ,4.2   ,1.57  ,10.7  ,59.6  ,615   , 80   , 1.67 , 49.7 ,239   , 91.3 ,15.4  , 58.3 ,221   ,.     , 75.8 ,.     ,
QC,F,1,126.2 ,52.3  ,4.4   ,3.01  ,10.5  ,39.9  ,598   ,205   , 1.00 , 47.1 ,227   , 87.6 ,12.3  , 46.7 ,.     ,  4   ,.     ,  0.0 ,
QC,F,2,127.4 ,59.1  ,4.4   ,3.17  ,12.9  ,38.2  ,554   , 75   , 1.89 , 49.4 ,230   , 87.7 ,12.9  , 53.1 ,.     ,  4   ,.     ,  0.0 ,
QC,F,3,126.8 ,55.7  ,4.4   ,3.09  ,11.7  ,39.1  ,576   ,140   , 1.45 , 48.3 ,229   , 87.7 ,12.6  , 49.9 ,.     ,  4   ,.     ,  0.0 ,
QC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
QC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
QC,T,3,127.1 ,54.6  ,4.3   ,2.33  ,11.2  ,49.4  ,596   ,110   , 1.56 , 49.0 ,234   , 89.5 ,14.0  , 54.1 ,.     ,.     ,.     ,.     ,
RA,M,1,136.9 ,62.0  ,4.6   ,3.86  ,10.4  ,58.5  ,531   ,246   , 0.34 , 58.3 ,261   , 90.3 ,13.7  , 63.3 ,266   ,.     , 88.2 ,.     ,
RA,M,2,132.8 ,64.9  ,4.7   ,0.00  , 8.6  ,58.0  ,474   ,216   , 0.48 , 41.8 ,234   , 90.5 ,12.6  , 58.1 ,166   ,.     , 66.7 ,.     ,
RA,M,3,134.9 ,63.5  ,4.7   ,1.93  , 9.5  ,58.3  ,503   ,231   , 0.41 , 50.0 ,248   , 90.4 ,13.2  , 60.7 ,216   ,.     , 77.5 ,.     ,
RA,F,1,124.0 ,59.9  ,4.8   ,3.20  ,11.9  ,42.8  ,472   ,127   , 0.87 , 54.3 ,246   , 79.6 ,14.3  , 46.7 ,.     ,  6   ,.     ,  3.3 ,
RA,F,2,125.3 ,57.2  ,4.6   ,3.12  ,12.3  ,38.8  ,454   ,212   , 1.01 , 52.3 ,211   , 93.7 ,13.2  , 48.3 ,.     ,  6   ,.     ,  3.4 ,
RA,F,3,124.7 ,58.6  ,4.7   ,3.16  ,12.1  ,40.8  ,463   ,170   , 0.94 , 53.3 ,229   , 86.7 ,13.8  , 47.5 ,.     ,  6   ,.     ,  3.4 ,
